No.,LOT_ID,WF_ID,X_AXIS,Y_AXIS,GRADE_CD,G_A,G_B,G_C,G_D,G_E,G_F,G_G,G_H,G_I,G_J,G_K,G_L,G_M,G_N,G_O,G_P,G_Q,G_R,G_S,G_T,Neighbor_A,Neighbor_B,Neighbor_C,Neighbor_D,Neighbor_E,Neighbor_F,Neighbor_G,Neighbor_H,Neighbor_I,Neighbor_J,Neighbor_K,Neighbor_L,Neighbor_M,Neighbor_N,Neighbor_O,Neighbor_P,Neighbor_Q,Neighbor_R,Neighbor_S,Neighbor_T,Weight_Base_A,Weight_Base_B,Weight_Base_C,Weight_Base_D,Weight_Base_E,Weight_Base_F,Weight_Base_G,Weight_Base_H,Weight_Base_I,Weight_Base_J,Weight_Base_K,Weight_Base_L,Weight_Base_M,Weight_Base_N,Weight_Base_O,Weight_Base_P,Weight_Base_Q,Weight_Base_R,Weight_Base_S,Weight_Base_T,Weight_Bound_A,Weight_Bound_B,Weight_Bound_C,Weight_Bound_D,Weight_Bound_E,Weight_Bound_F,Weight_Bound_G,Weight_Bound_H,Weight_Bound_I,Weight_Bound_J,Weight_Bound_K,Weight_Bound_L,Weight_Bound_M,Weight_Bound_N,Weight_Bound_O,Weight_Bound_P,Weight_Bound_Q,Weight_Bound_R,Weight_Bound_S,Weight_Bound_T,PKT_Y
48159,ABC1236,13,59,32,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60178,ABC1258,2,45,14,SQ,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1.0,4,0,1,0,1,1,0,0,1,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60860,ABC1258,15,50,14,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,1,7,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595238095,57.21428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452380952,81.58333333,0.0,1.0
25012,ABC1236,1,45,13,SQ,0,0,0,0,4,0,0,0.0,0,0,2,0,0,0,0,0,0,3,31,0,2,2,4,0,3,2,1,2.0,2,1,5,3,2,3,2,1,0,7,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86262,ABC1236,3,51,13,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,34,28,0,2,2,2,0,2,2,2,2.0,2,2,2,3,2,2,5,4,2,8,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32764,ABC1236,16,52,14,SQ,0,0,4,0,3,8,0,6.0,6,0,0,3,0,0,0,4,0,61,21,0,0,0,1,0,4,2,1,2.0,2,0,1,2,1,1,5,3,4,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714,13.67857143,0.0,1.0
81560,ABC1258,24,45,14,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,0,0,0,1,0,0,0,0,0,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34911,ABC1111,6,20,35,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0.5,1,1,2,2,4,2,1,2,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361111111,0.0,0.0,0.0,5.666666667,4.763888889,5.555555556,0.465277778,0.0,1.194444444,1.194444444,14.75,0.0,0.0,1.0
17131,ABC1111,19,45,14,NQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7347,ABC1258,13,34,11,N1,29,25,29,0,35,31,25,23.0,21,18,24,21,17,29,46,0,0,51,43,26,3,5,5,0,5,3,3,5.0,5,4,3,4,4,4,2,2,2,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44702,ABC1236,25,53,27,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,9,5,5,18,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,4,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.22222222,7.25,0.0,48.26388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.55555556,20.54166667,2.986111111,84.39583333,0.0,1.0
45673,ABC1236,25,18,19,SQ,0,0,0,15,19,0,0,0.0,0,0,0,0,0,0,0,4,0,42,4,0,0,1,0,5,6,0,0,0.0,1,0,0,0,1,0,4,3,4,9,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.595238095,0.0,0.0,1.0
89463,ABC1258,4,18,23,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,1,1,1,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60570,ABC1111,17,58,21,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66220,ABC1258,7,44,43,SQ,0,0,0,0,0,0,0,2.0,0,12,5,0,5,0,12,16,18,41,37,0,3,3,5,2,1,4,3,5.0,4,5,3,2,4,3,6,3,4,9,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85184,ABC1236,11,60,31,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,1,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58214,ABC1236,1,19,33,SQ,2,0,0,0,0,0,0,0.0,7,0,9,7,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,1,1,1,1,2,1,1,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27949,ABC1258,5,18,25,NQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82902,ABC1258,6,16,19,SQ,0,12,11,0,56,1,0,0.0,0,0,23,13,11,3,1,0,0,58,32,5,2,4,5,0,7,2,2,3.0,3,2,4,4,3,3,3,2,2,8,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59584,ABC1111,6,38,40,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33431,ABC1236,25,16,19,SQ,0,0,0,0,24,0,8,2.0,0,0,0,0,0,0,4,10,11,29,50,20,2,3,2,4,7,2,4,5.0,3,3,2,3,4,3,7,5,7,8,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69080,ABC1111,13,33,15,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,0,2,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39228,ABC1236,18,32,19,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,3,3,3.0,2,0,0,0,1,0,1,1,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70359,ABC1258,10,23,39,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,48,32,0,0,0,1,0,1,0,0,0.0,0,1,0,2,1,0,1,0,0,9,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9225,ABC1258,1,28,36,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25259,ABC1236,4,52,22,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44333,ABC1258,4,23,34,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65079,ABC1236,7,27,39,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,8,0,26,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,5,5,4,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.41666667,19.75,13.06547619,34.78571429,0.0,1.0
38336,ABC1258,7,30,42,SQ,0,0,0,35,0,0,0,0.0,0,0,0,0,0,0,0,0,0,23,29,10,3,2,3,5,4,2,3,4.0,4,4,3,3,2,3,3,0,1,9,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738095238,0.0,1.0
75109,ABC1258,22,30,42,SQ,0,0,0,25,0,0,0,0.0,0,0,0,0,0,0,0,1,0,29,2,0,2,2,2,2,1,2,2,3.0,3,2,4,3,3,2,4,2,2,9,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33155,ABC1111,1,44,44,N1,17,14,10,6,20,0,12,17.0,17,15,20,16,6,12,26,0,0,58,37,45,5,4,5,2,4,3,5,4.5,5,6,5,6,4,5,6,2,1,6,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63678,ABC1258,1,31,39,SQ,0,0,0,0,5,0,0,0.0,0,0,4,2,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,1.0,1,0,1,1,0,1,1,2,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83884,ABC1258,1,24,17,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,3,1,0,1,0.0,0,1,1,0,0,0,1,0,1,5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.378205128,13.69230769,0.0,1.0
4862,ABC1258,24,38,11,N1,0,0,0,0,19,0,0,0.0,0,0,0,0,0,0,23,0,0,68,49,0,2,2,1,1,3,1,2,2.0,2,1,3,2,2,2,5,2,2,5,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82475,ABC1236,11,13,28,SQ,12,4,11,0,12,12,12,11.0,11,12,12,10,12,12,0,0,0,47,43,0,8,8,7,0,8,8,8,7.0,8,8,8,7,7,8,3,4,2,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,1.0
54565,ABC1111,17,18,18,N1,0,0,0,0,6,0,0,0.0,0,0,0,15,0,0,0,0,0,71,0,0,2,3,3,0,5,2,3,3.0,3,3,3,5,4,3,2,1,1,8,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22737,ABC1258,13,23,14,N1,30,30,32,26,34,29,18,30.0,36,26,30,26,18,24,47,0,0,56,47,0,2,2,3,3,3,2,2,2.0,2,1,1,2,2,2,5,1,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58874,ABC1111,24,43,17,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,2,2,1,1,1,2,2,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.340659341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94505495,0.0,1.923076923,0.0,0.0,10.65934066,12.56043956,8.967032967,6.527472527,0.0,0.0,1.0
84959,ABC1111,14,24,38,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,2,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79944,ABC1236,12,31,27,SQ,0,0,0,0,0,6,1,0.0,0,1,4,11,0,11,0,0,0,3,0,0,0,0,3,0,3,4,1,1.0,3,2,5,3,3,4,1,2,2,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523809524,0.011904762,0.0,0.0,0.0,0.0,0.0,0.053571429,0.0,0.0,0.0,0.011904762,0.023809524,0.0,0.446428571,0.047619048,0.0,0.178571429,0.904761905,0.476190476,4.714285714,0.130952381,0.357142857,0.267857143,8.25,14.16666667,5.714285714,3.375,7.285714286,0.0,1.0
6347,ABC1236,7,31,29,SQ,10,0,4,0,10,0,13,2.0,0,5,7,11,0,0,0,0,0,0,5,0,3,0,1,0,1,0,3,1.0,0,2,4,5,1,0,1,1,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732142857,0.0,0.0,0.0,0.0,0.0,15.26785714,0.0,0.0,1.0
28172,ABC1258,14,50,12,N1,36,32,32,5,32,36,36,28.0,34,32,42,36,38,34,40,10,10,64,51,17,3,3,3,3,3,3,4,3.0,3,3,3,3,3,3,4,2,2,6,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73223,ABC1258,17,42,38,SQ,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0,0,0,0,0,0,0,1,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31707,ABC1236,11,40,44,N1,12,9,6,4,5,8,12,8.0,7,6,10,7,12,8,12,14,0,41,13,4,3,3,4,4,3,3,3,4.0,3,3,3,3,3,4,3,6,3,6,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58022,ABC1258,9,48,42,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6,8,7,3,0,1,0,0,0,1,1,0,1.0,1,0,0,0,1,0,3,2,2,9,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78826,ABC1258,23,55,24,SQ,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38986,ABC1258,16,30,13,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,57,18,0,3,4,4,1,3,3,2,3.0,3,4,3,2,3,3,3,0,1,8,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19588,ABC1258,11,60,16,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,4,6,40,43,0,2,1,1,2,1,1,1,1.0,1,2,1,1,2,1,5,3,4,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,ABC1258,10,41,35,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,3,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
